filename,x,y,z
EM\Background\EM_10107.jpg,14.222042,6.9000473,5.1427836
EM\Background\EM_10122.jpg,14.082297,6.9204936,5.2389364
EM\Background\EM_11549_NW.jpg,14.595526,7.018033,4.765746
EM\Background\EM_11652_NW.jpg,15.417882,6.6843314,4.055713
EM\Background\EM_11652_SE.jpg,11.934289,6.822479,6.046017
EM\Background\EM_1182.jpg,14.383684,6.600202,4.9466705
EM\Background\EM_13070_NW.jpg,15.208268,6.391442,4.209393
EM\Background\EM_13070_SE.jpg,15.277817,6.4129944,4.2481213
EM\Background\EM_13216_NW.jpg,15.229865,6.4767666,4.35912
EM\Background\EM_13216_SE.jpg,15.301679,6.4470553,4.158406
EM\Background\EM_13790_NW.jpg,14.524929,7.1785254,4.585109
EM\Background\EM_13790_SE.jpg,13.470589,6.8224053,5.4915986
EM\Background\EM_13852.jpg,14.218568,6.8300333,5.1059995
EM\Background\EM_1412.jpg,13.774028,6.857178,5.5160394
EM\Background\EM_14369_NW.jpg,14.631783,6.698209,4.852144
EM\Background\EM_14369_SE.jpg,14.196948,6.8255944,5.17944
EM\Background\EM_14523.jpg,14.584829,6.76643,3.909311
EM\Background\EM_14525.jpg,14.337386,7.2970295,4.761945
EM\Background\EM_14528.jpg,14.693882,6.9300647,4.786011
EM\Background\EM_14533.jpg,14.469681,6.695779,4.187449
EM\Background\EM_15980_SE.jpg,15.29521,6.5178895,3.937337
EM\Background\EM_16106_NW.jpg,14.730594,6.355476,3.989753
EM\Background\EM_1612.jpg,14.087217,6.6522236,4.6198163
EM\Background\EM_1644.jpg,14.220976,6.4410076,4.896371
EM\Background\EM_1663.jpg,14.704387,6.456441,4.2456093
EM\Background\EM_16812_NW.jpg,14.851952,6.735678,4.8789644
EM\Background\EM_16878_SE.jpg,14.370181,6.8820944,4.565884
EM\Background\EM_17072_NW.jpg,14.390618,6.9566126,4.9428453
EM\Background\EM_17072_SE.jpg,14.115574,7.028673,5.2695255
EM\Background\EM_17099.jpg,14.375876,6.416168,4.1303926
EM\Background\EM_17107.jpg,12.214693,6.786818,5.899249
EM\Background\EM_17140.jpg,14.371782,6.99547,4.67885
EM\Background\EM_17153.jpg,13.155658,6.992753,5.4952183
EM\Background\EM_17156.jpg,14.441126,6.4633927,4.2848964
EM\Background\EM_17161.jpg,14.530068,6.7116604,4.5521946
EM\Background\EM_17641_NW.jpg,14.884529,6.6224337,4.1407814
EM\Background\EM_17641_SE.jpg,15.55624,6.5049057,4.1345744
EM\Background\EM_18561_NW.jpg,14.935753,6.6158442,4.7364597
EM\Background\EM_18561_SE.jpg,15.4795885,6.489804,4.1624594
EM\Background\EM_19584.jpg,14.256868,6.7710314,5.0334682
EM\Background\EM_19986.jpg,13.957783,7.1463733,5.252276
EM\Background\EM_20837_NW.jpg,14.278725,6.360449,4.594973
EM\Background\EM_20853_SE.jpg,15.24066,6.469134,4.06612
EM\Background\EM_22169.jpg,14.590886,6.2813845,4.0974274
EM\Background\EM_22179.jpg,14.423833,6.631238,4.333699
EM\Background\EM_23185_SE.jpg,15.473548,6.563707,4.170855
EM\Background\EM_23194_SE.jpg,14.979716,6.780618,4.5783324
EM\Background\EM_23204_NW.jpg,14.886017,6.6854234,4.691624
EM\Background\EM_23204_SE.jpg,15.48427,6.5903378,4.21117
EM\Background\EM_23311.jpg,14.652796,6.2757463,4.2986255
EM\Background\EM_24376.jpg,13.470376,7.0720143,5.244261
EM\Background\EM_25644_NW.jpg,14.462119,6.2163224,4.317013
EM\Background\EM_25644_SE.jpg,14.326316,6.3185263,4.611261
EM\Background\EM_25789.jpg,13.484906,6.916203,5.423122
EM\Background\EM_25791.jpg,13.927201,6.7143598,5.2932477
EM\Background\EM_25797.jpg,14.169841,6.3896303,4.4851823
EM\Background\EM_26351.jpg,14.259145,6.8756256,4.949785
EM\Background\EM_26374.jpg,14.517106,6.74562,4.453245
EM\Background\EM_2735_NW.jpg,13.667111,7.0809937,5.426071
EM\Background\EM_2753_NW.jpg,13.053225,6.8103385,5.643521
EM\Background\EM_2753_SE.jpg,15.446162,6.653504,4.259147
EM\Background\EM_2783.jpg,13.889448,7.923941,4.995646
EM\Background\EM_28820.jpg,14.603158,6.6896005,4.1056046
EM\Background\EM_28972.jpg,15.39596,6.718565,4.1810994
EM\Background\EM_29267_NW.jpg,14.953752,6.2697906,4.4120116
EM\Background\EM_29267_SE.jpg,14.855744,6.379365,4.464639
EM\Background\EM_30062_NW.jpg,13.830576,6.9161906,5.3758907
EM\Background\EM_30062_SE.jpg,15.505532,6.6397133,4.127952
EM\Background\EM_3101.jpg,14.977459,6.5962334,4.5939627
EM\Background\EM_3133.jpg,14.451713,7.045502,4.543302
EM\Background\EM_3140.jpg,14.499902,6.8387866,4.723626
EM\Background\EM_3143.jpg,14.632239,6.8925123,3.9669664
EM\Background\EM_3158.jpg,13.215468,6.8115287,5.2309184
EM\Background\EM_3184_NW.jpg,13.858958,6.8249183,5.4554152
EM\Background\EM_3184_SE.jpg,15.51736,6.623164,4.258554
EM\Background\EM_31957_NW.jpg,14.674068,6.24427,3.619872
